SiteName,State,Ecoregion,Latitude,Longitude,SampleDate,SampleYear,SampleMonth,Substrate,DenitAmended_Mean_uMolN2Om2hr,DenitAmended_SD_uMolN2Om2hr,DenitAmended_StdErr_uMolN2Om2hr,DenitAmended_95CI_uMolN2Om2hr,DenitUnamended_Mean_uMolN2Om2hr,DenitUnamended_SD_uMolN2Om2hr,DenitUnamended_StdErr_uMolN2Om2hr,DenitUnamended_95CI_uMolN2Om2hr
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Rock,-0.53,0.51,0.3,0.58,2.18,2.37,1.37,2.69
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Sediment,109.72,33.85,19.54,38.3,26.25,36.2,20.9,40.96
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Wood,-9.5,26.64,18.83,36.92,0.88,0.97,0.69,1.35
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Clay,-75.2,28.54,20.18,39.56,218.01,31.05,21.95,43.03
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Rock,-1.96,0.64,0.46,0.89,NA,NA,NA,NA
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Sediment,87.57,32.09,18.53,36.32,197.4,84.46,48.76,95.57
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Wood,114.06,321.14,227.08,445.08,87.52,NA,NA,NA
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Macrophyte,380.01,295,147.5,289.1,11.35,6.96,3.48,6.82
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Sediment,402.98,118.97,53.2,104.28,28.9,24.19,10.82,21.2
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Rock,0.01,1.57,0.91,1.78,0,0,0,0
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Sediment,227.82,209.64,121.04,237.23,8.41,14.56,8.41,16.48
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Wood,-13.21,5.35,3.78,7.42,-0.87,2.18,1.54,3.03
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock,1.73,0.57,0.4,0.79,3.71,5.24,3.71,7.26
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock Flock,15.43,21.83,15.43,30.25,21.8,13.18,9.32,18.27
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Wood,27.43,23.07,16.31,31.97,1.5,0.78,0.55,1.08
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Macrophyte,418.09,526.52,372.31,729.72,42.63,27.27,19.28,37.79
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Rock,0,1.31,0.65,1.28,-6.62,12.04,6.02,11.8
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Sediment,78.89,82.13,58.07,113.82,1.15,7.3,5.16,10.11
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Wood,6.77,9.57,6.77,13.26,-0.08,4.75,3.36,6.59
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,Aug,Macrophyte,-0.78,5,2.89,5.66,-10.18,7.2,5.09,9.97
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,Aug,Rock,20.26,4.27,3.02,5.91,NA,NA,NA,NA
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,Aug,Sediment,776.03,195.04,112.6,220.7,361.62,44.85,25.89,50.75
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,Aug,Wood,114.77,161.81,114.42,224.26,7.72,26.23,18.55,36.36
