SiteName,State,Ecoregion,Latitude,Longitude,SampleDate,SampleYear,SampleMonth,Substrate,Nfix_Mean_uMolN2m2hr,Nfix_SD_uMolN2m2hr,Nfix_StdErr_uMolN2m2hr,Nfix_95CI_uMolN2m2hr
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Rock,0.12,0.1,0.06,0.12
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Sediment,0.01,0.06,0.03,0.06
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,3-Jun-17,2017,June,Wood,0.15,0.15,0.11,0.21
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Clay,0.09,,,
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Rock,-0.16,0.06,0.04,0.08
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Sediment,0.09,0.06,0.04,0.07
Eno River,NC,Mid-atlantic,36.0715,-79.0968,4-Jun-17,2017,June,Wood,-0.02,0.02,0.01,0.02
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Macrophyte,16.22,17.89,8.94,17.53
Arikaree River,CO,Central Plains,39.75825,-102.4471,11-Jul-17,2017,July,Sediment,1.17,1.46,0.65,1.28
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Rock,-0.11,0.19,0.11,0.21
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Sediment,0.14,0.18,0.1,0.2
Lower Knowton Fork Red Butte Creek,UT,Great Basin,40.8045,-111.7654,18-Jul-17,2017,July,Wood,0.1,0.14,0.1,0.2
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock,0.03,0.09,0.06,0.12
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Rock Flock,-0.03,0.07,0.05,0.1
1300 E Red Butte Creek,UT,Great Basin,40.7451,-111.8546,19-Jul-17,2017,July,Wood,0,0.05,0.03,0.07
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Macrophyte,0.01,0.01,0.01,0.02
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Rock,18.08,6.37,3.19,6.25
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Sediment,0.19,0.06,0.05,0.09
South Fork Mink Creek,ID,Northern Rockies,42.7074,-112.4228,27-Jul-17,2017,July,Wood,3.7,5,3.53,6.93
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Macrophyte,-0.04,0.22,0.16,0.31
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Rock,-0.1,0.25,0.18,0.34
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Sediment,-0.01,0.11,0.06,0.12
Black Earth Creek,WI,Prairie Peninsula,43.1097,-89.6408,8-Aug-17,2017,August,Wood,0.08,0.02,0.02,0.03
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Macrophyte,-0.01,0.01,0.01,0.02
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Sediment,-0.1,0.12,0.07,0.13
Brewery Creek,WI,Prairie Peninsula,43.125,-89.635,11-Aug-17,2017,August,Wood,-0.07,0.17,0.12,0.23
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Rock,0.08,0.44,0.26,0.5
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Sediment,-0.2,0.26,0.15,0.29
New Hope Creek,NC,Mid-atlantic,35.9795,-79.0018,27-May-18,2018,May,Wood,0.05,0.08,0.06,0.11
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Macrophyte,-0.03,0.13,0.07,0.15
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Sediment,0.35,0.56,0.39,0.77
Ichetucknee River,FL,Southeast,29.9526,-82.7863,31-May-18,2018,May,Wood,-0.03,0.06,0.04,0.08
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Macrophyte,4.71,4.27,2.13,4.18
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Sediment,0.24,0.31,0.18,0.35
Alexander Springs,FL,Southeast,29.0812,-81.5662,2-Jun-18,2018,June,Wood,0.32,0.44,0.31,0.61
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Pebble ,0.8,0.41,0.29,0.56
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Rock,2.04,1.96,1.38,2.71
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Sediment,0.31,0.26,0.15,0.29
Pringle Creek,TX,Southern Plains,33.37859,-97.78226,9-Jun-18,2018,June,Wood,0.56,0.85,0.6,1.17
